Instance,Class_1,Class_2,Class_3
1,5.75%,90.02%,4.04%
2,8.43%,86.13%,4.39%
3,3.19%,93.78%,8.19%
4,10.49%,70.29%,21.49%
5,56.73%,56.20%,1.69%
6,24.59%,40.45%,13.87%
7,12.24%,75.35%,10.48%
8,5.99%,91.29%,3.12%
9,26.77%,69.62%,0.59%
10,41.09%,47.05%,3.51%
11,25.09%,34.32%,18.68%
12,33.33%,43.81%,5.97%
13,10.52%,64.58%,16.28%
14,9.94%,84.67%,2.45%
15,42.68%,14.42%,24.40%
16,2.27%,94.29%,2.22%
17,6.58%,93.78%,3.49%
18,94.02%,1.35%,4.07%
19,6.86%,69.49%,33.81%
20,13.39%,70.41%,2.89%
21,25.21%,35.37%,27.45%
22,30.73%,33.50%,7.00%
23,49.61%,21.22%,6.08%
24,18.18%,56.50%,7.05%
25,10.89%,75.71%,2.06%
26,78.72%,8.44%,8.15%
27,39.96%,15.94%,20.51%
28,3.46%,75.21%,26.92%
29,93.44%,2.99%,1.71%
30,9.64%,27.10%,59.30%
31,48.00%,30.46%,8.46%
32,7.74%,69.51%,11.66%
33,12.06%,88.37%,4.47%
34,53.01%,31.56%,5.65%
35,10.01%,90.02%,1.36%
36,3.51%,92.76%,9.15%
37,3.14%,97.28%,2.59%
38,6.44%,10.43%,74.11%
39,15.98%,74.37%,5.22%
40,30.86%,31.76%,5.90%
41,18.25%,78.02%,2.52%
42,35.62%,32.92%,12.15%
43,7.59%,61.76%,42.11%
44,27.92%,76.64%,2.94%
45,19.31%,50.17%,16.89%
46,20.57%,11.99%,58.87%
47,4.61%,76.53%,35.93%
48,8.66%,67.99%,6.81%
49,11.30%,88.27%,1.66%
50,48.06%,35.58%,5.29%
51,31.84%,31.26%,20.86%
52,15.73%,69.37%,15.41%
53,6.37%,84.72%,15.70%
54,4.88%,92.96%,2.86%
55,84.17%,4.47%,7.27%
56,15.99%,6.56%,31.37%
57,13.52%,77.33%,12.91%
58,1.15%,92.52%,26.88%
59,13.04%,80.99%,4.99%
60,77.94%,9.97%,9.03%
61,5.06%,77.99%,24.16%
62,4.86%,57.33%,40.48%
63,12.39%,54.18%,9.77%
64,55.88%,15.33%,14.31%
65,73.41%,7.01%,11.95%
66,7.41%,91.95%,3.27%
67,93.71%,2.76%,3.05%
68,10.46%,78.51%,3.85%
69,21.05%,59.30%,6.51%
70,13.46%,83.44%,6.37%
71,59.01%,14.40%,2.73%
72,6.79%,30.79%,35.23%
73,4.33%,97.97%,2.05%
74,32.09%,13.62%,22.44%
75,34.98%,17.96%,32.70%
76,89.72%,3.68%,5.55%
77,12.67%,77.24%,6.60%
78,2.42%,73.45%,34.04%
79,23.47%,58.10%,7.99%
80,13.38%,47.10%,15.27%
81,16.84%,10.35%,59.47%
82,56.48%,15.10%,8.78%
83,2.74%,92.12%,8.15%
